Date,Sample Collection Date,Daily Increase,Population Density (per km^2),Infection rate,Mutation Rate
0,2020/1/23,1,35.608,3.03E-06,0.00046818
2,2020/1/25,1,35.608,6.07E-06,0.000200649
2,2020/1/25,1,35.608,6.07E-06,0.000200649
4,2020/1/27,3,35.608,1.52E-05,0
5,2020/1/28,0,35.608,1.52E-05,0.00046818
6,2020/1/29,0,35.608,1.52E-05,0.000200649
6,2020/1/29,0,35.608,1.52E-05,0.000200649
6,2020/1/29,0,35.608,1.52E-05,0.000267532
6,2020/1/29,0,35.608,1.52E-05,0.000133766
8,2020/1/31,1,35.608,1.82E-05,6.69E-05
14,2020/2/6,1,35.608,3.64E-05,0.000267532
18,2020/2/10,0,35.608,3.64E-05,6.69E-05
19,2020/2/11,1,35.608,3.95E-05,0.00046818
25,2020/2/17,0,35.608,4.55E-05,0.000267532
25,2020/2/17,0,35.608,4.55E-05,0.000133766
25,2020/2/17,0,35.608,4.55E-05,0.000133766
25,2020/2/17,0,35.608,4.55E-05,0.000133766
25,2020/2/17,0,35.608,4.55E-05,6.69E-05
26,2020/2/18,0,35.608,4.55E-05,0.000200649
26,2020/2/18,0,35.608,4.55E-05,0.000401298
26,2020/2/18,0,35.608,4.55E-05,6.69E-05
28,2020/2/20,0,35.608,4.55E-05,6.69E-05
29,2020/2/21,0,35.608,4.55E-05,6.69E-05
29,2020/2/21,0,35.608,4.55E-05,0.000267532
29,2020/2/21,0,35.608,4.55E-05,0.000200649
29,2020/2/21,0,35.608,4.55E-05,0.000267532
29,2020/2/21,0,35.608,4.55E-05,6.69E-05
31,2020/2/23,0,35.608,0.000106222,6.69E-05
32,2020/2/24,0,35.608,0.000106222,0.000200649
33,2020/2/25,18,35.608,0.00016085,0.000334415
35,2020/2/27,6,35.608,0.000179059,0.000401298
36,2020/2/28,0,35.608,0.000179059,0.000535063
37,2020/2/29,3,35.608,0.000188164,0.000535063
37,2020/2/29,3,35.608,0.000188164,0.000535063
37,2020/2/29,3,35.608,0.000188164,0.000668829
37,2020/2/29,3,35.608,0.000188164,0.000334415
42,2020/3/5,21,35.608,0.000364188,0.00046818
42,2020/3/5,21,35.608,0.000364188,0.000401298
42,2020/3/5,21,35.608,0.000364188,0.000334415
42,2020/3/5,21,35.608,0.000364188,0.000401298
42,2020/3/5,21,35.608,0.000364188,0.000601946
43,2020/3/6,19,35.608,0.000418816,0.000401298
43,2020/3/6,19,35.608,0.000418816,0.000401298
43,2020/3/6,19,35.608,0.000418816,0.00046818
44,2020/3/7,65,35.608,0.00061305,0.00046818
45,2020/3/8,0,35.608,0.00061305,0.000267532
45,2020/3/8,0,35.608,0.00061305,0.000401298
45,2020/3/8,0,35.608,0.00061305,0.000401298
45,2020/3/8,0,35.608,0.00061305,0.000334415
46,2020/3/9,0,35.608,0.00061305,0.00046818
46,2020/3/9,0,35.608,0.00061305,0.000535063
46,2020/3/9,0,35.608,0.00061305,0.000401298
47,2020/3/10,259,35.608,0.00137481,0.000401298
47,2020/3/10,259,35.608,0.00137481,0.000535063
48,2020/3/11,224,35.608,0.002036419,0.00046818
48,2020/3/11,224,35.608,0.002036419,0.00046818
49,2020/3/12,291,35.608,0.002907436,0.00046818
49,2020/3/12,291,35.608,0.002907436,0.000334415
49,2020/3/12,291,35.608,0.002907436,0.00046818
49,2020/3/12,291,35.608,0.002907436,0.000535063
49,2020/3/12,291,35.608,0.002907436,0.000735712
50,2020/3/13,277,35.608,0.003726859,0.000668829
50,2020/3/13,277,35.608,0.003726859,0.000334415
50,2020/3/13,277,35.608,0.003726859,0.000535063
50,2020/3/13,277,35.608,0.003726859,0.000334415
50,2020/3/13,277,35.608,0.003726859,0.000535063
50,2020/3/13,277,35.608,0.003726859,0.000401298
50,2020/3/13,277,35.608,0.003726859,0.000267532
50,2020/3/13,277,35.608,0.003726859,0.000401298
50,2020/3/13,277,35.608,0.003726859,0.000535063
51,2020/3/14,769,35.608,0.006027314,0.00046818
51,2020/3/14,769,35.608,0.006027314,0.00046818
52,2020/3/15,622,35.608,0.00785736,0.000334415
52,2020/3/15,622,35.608,0.00785736,0.000535063
52,2020/3/15,622,35.608,0.00785736,0.000535063
53,2020/3/16,589,35.608,0.009626707,0.000401298
53,2020/3/16,589,35.608,0.009626707,0.000735712
53,2020/3/16,589,35.608,0.009626707,0.000401298
53,2020/3/16,589,35.608,0.009626707,0.000601946
53,2020/3/16,589,35.608,0.009626707,0.000401298
54,2020/3/17,1385,35.608,0.013629742,0.000668829
54,2020/3/17,1385,35.608,0.013629742,0.000401298
54,2020/3/17,1385,35.608,0.013629742,0.000401298
54,2020/3/17,1385,35.608,0.013629742,0.000601946
55,2020/3/18,1702,35.608,0.018670713,0.00046818
55,2020/3/18,1702,35.608,0.018670713,0.000535063
55,2020/3/18,1702,35.608,0.018670713,0.00046818
55,2020/3/18,1702,35.608,0.018670713,0.000535063
55,2020/3/18,1702,35.608,0.018670713,0.00046818
55,2020/3/18,1702,35.608,0.018670713,0.000668829
55,2020/3/18,1702,35.608,0.018670713,0.000401298
56,2020/3/19,7511,35.608,0.041010622,0.000735712
56,2020/3/19,7511,35.608,0.041010622,0.000401298
56,2020/3/19,7511,35.608,0.041010622,0.000334415
57,2020/3/20,5259,35.608,0.056861912,0.000535063
57,2020/3/20,5259,35.608,0.056861912,0.000401298
58,2020/3/21,6392,35.608,0.075936267,0.000401298
58,2020/3/21,6392,35.608,0.075936267,0.000401298
59,2020/3/22,7580,35.608,0.098591806,0.00046818
59,2020/3/22,7580,35.608,0.098591806,0.000869478
59,2020/3/22,7580,35.608,0.098591806,0.000401298
59,2020/3/22,7580,35.608,0.098591806,0.000735712
60,2020/3/23,10141,35.608,0.128992413,0.000601946
60,2020/3/23,10141,35.608,0.128992413,0.00046818
60,2020/3/23,10141,35.608,0.128992413,0.000535063
61,2020/3/24,10374,35.608,0.159490137,0.000668829
61,2020/3/24,10374,35.608,0.159490137,0.000401298
62,2020/3/25,12190,35.608,0.195675266,0.000601946
62,2020/3/25,12190,35.608,0.195675266,0.000401298
62,2020/3/25,12190,35.608,0.195675266,0.000401298
62,2020/3/25,12190,35.608,0.195675266,0.00046818
63,2020/3/26,17729,35.608,0.247726859,0.000535063
63,2020/3/26,17729,35.608,0.247726859,0.000401298
63,2020/3/26,17729,35.608,0.247726859,0.000535063
63,2020/3/26,17729,35.608,0.247726859,0.000601946
64,2020/3/27,18150,35.608,0.30108346,0.00046818
